epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5652.39,0.63456,0.45823,0.99855,0.95683,0.93972,0.96299,0.86689,0.52069,0.36602,0.92945,8.716e-05,8.716e-05,8.716e-05
81,5722.69,0.61942,0.45236,0.99919,0.95614,0.93475,0.96144,0.86372,0.52255,0.37446,0.92416,8.32e-05,8.32e-05,8.32e-05
82,5792.44,0.61927,0.44655,0.99936,0.95863,0.93882,0.96111,0.86349,0.52116,0.37066,0.92155,7.924e-05,7.924e-05,7.924e-05
83,5861.51,0.61951,0.4524,1.00198,0.95903,0.94423,0.96126,0.86915,0.51789,0.36563,0.91963,7.528e-05,7.528e-05,7.528e-05
84,5931.77,0.61529,0.43889,0.99451,0.963,0.9352,0.96396,0.8717,0.51059,0.35434,0.91603,7.132e-05,7.132e-05,7.132e-05
85,6001.15,0.61352,0.44288,0.99652,0.95882,0.9424,0.96606,0.87533,0.50836,0.3615,0.91077,6.736e-05,6.736e-05,6.736e-05
86,6070.14,0.60688,0.43236,0.99306,0.94167,0.94867,0.96278,0.87101,0.51293,0.36633,0.91441,6.34e-05,6.34e-05,6.34e-05
87,6139.3,0.60808,0.4385,0.99712,0.95882,0.94111,0.96331,0.86983,0.51331,0.35952,0.91355,5.944e-05,5.944e-05,5.944e-05
88,6208.65,0.60436,0.43047,0.98678,0.96305,0.94338,0.9643,0.86952,0.5154,0.35981,0.91659,5.548e-05,5.548e-05,5.548e-05
89,6277.96,0.60342,0.43017,0.99089,0.95298,0.93632,0.96515,0.87088,0.5152,0.35962,0.91875,5.152e-05,5.152e-05,5.152e-05
90,6348.16,0.60621,0.43359,0.98815,0.9553,0.94481,0.96572,0.87284,0.5088,0.35652,0.91007,4.756e-05,4.756e-05,4.756e-05
91,6418.21,0.51219,0.308,0.92679,0.95673,0.94666,0.96428,0.87012,0.51606,0.3553,0.91359,4.36e-05,4.36e-05,4.36e-05
92,6484.82,0.49378,0.29441,0.91745,0.9541,0.94717,0.96494,0.87072,0.51159,0.35535,0.91452,3.964e-05,3.964e-05,3.964e-05
93,6551.75,0.47729,0.28699,0.90796,0.95798,0.94549,0.96466,0.87289,0.50567,0.34767,0.90901,3.568e-05,3.568e-05,3.568e-05
94,6618.68,0.47014,0.27766,0.90497,0.95498,0.94808,0.96521,0.87483,0.50492,0.34596,0.90866,3.172e-05,3.172e-05,3.172e-05
95,6685.97,0.46743,0.27771,0.9025,0.95848,0.94149,0.96459,0.87623,0.50118,0.34721,0.90644,2.776e-05,2.776e-05,2.776e-05
96,6753.33,0.46038,0.27739,0.90145,0.96155,0.94617,0.96592,0.87708,0.50155,0.34464,0.90546,2.38e-05,2.38e-05,2.38e-05
97,6819.44,0.46386,0.27773,0.90217,0.95891,0.94481,0.96537,0.87686,0.49892,0.33955,0.90644,1.984e-05,1.984e-05,1.984e-05
98,6886.69,0.45377,0.26857,0.89579,0.96046,0.94349,0.96629,0.87796,0.50188,0.34334,0.90759,1.588e-05,1.588e-05,1.588e-05
99,6953.92,0.45313,0.2691,0.89647,0.95519,0.9517,0.96576,0.87913,0.49788,0.34246,0.90628,1.192e-05,1.192e-05,1.192e-05
100,7021.98,0.45346,0.26873,0.89443,0.95806,0.95234,0.96613,0.87976,0.49982,0.34065,0.90618,7.96e-06,7.96e-06,7.96e-06
